date,max_temp,min_temp
2010-01-01,9.7,4.5
2010-01-02,9.0,3.8
2010-01-03,8.9,4.0
2010-01-04,6.6,5.4
2010-01-05,8.7,3.8
2010-01-06,6.8,-0.1
2010-01-07,5.6,-2.7
2010-01-08,6.9,3.7
2010-01-09,11.2,6.9
2010-01-10,12.4,4.5
2010-01-11,13.8,9.4
2010-01-12,13.4,9.3
2010-01-13,10.8,5.8
2010-01-14,9.7,6.3
2010-01-15,10.5,4.3
2010-01-16,9.0,2.1
2010-01-17,10.3,5.3
2010-01-18,11.7,4.6
2010-01-19,14.1,4.2
2010-01-20,11.5,6.9
2010-01-21,13.0,5.5
2010-01-22,8.6,3.0
2010-01-23,9.2,1.7
2010-01-24,8.4,2.7
2010-01-25,9.3,5.3
2010-01-26,8.7,1.7
2010-01-27,8.8,2.6
2010-01-28,9.5,5.5
2010-01-29,11.6,5.8
2010-01-30,8.9,6.9
2010-01-31,10.0,7.0
2010-02-01,8.8,4.2
2010-02-02,9.0,5.7
2010-02-03,8.8,2.4
2010-02-04,13.1,6.6
2010-02-05,13.0,6.1
2010-02-06,11.7,3.4
2010-02-07,8.0,5.1
2010-02-08,10.8,3.6
2010-02-09,9.7,0.9
2010-02-10,9.1,2.2
2010-02-11,10.2,5.6
2010-02-12,11.5,6.6
2010-02-13,9.9,6.6
2010-02-14,12.4,5.4
2010-02-15,10.2,3.2
2010-02-16,11.7,5.0
2010-02-17,8.2,1.2
2010-02-18,9.1,0.4
2010-02-19,10.0,-0.4
2010-02-20,9.7,-0.3
2010-02-21,10.2,0.3
2010-02-22,10.9,-0.4
2010-02-23,9.2,2.6
2010-02-24,8.0,5.3
2010-02-25,12.2,6.2
2010-02-26,9.8,6.9
2010-02-27,10.5,7.2
2010-02-28,12.8,7.7
2010-03-01,12.7,4.7
2010-03-02,13.9,7.2
2010-03-03,9.5,4.6
2010-03-04,11.6,3.0
2010-03-05,10.7,2.8
2010-03-06,10.9,2.2
2010-03-07,8.3,2.2
2010-03-08,6.9,1.2
2010-03-09,7.7,4.4
2010-03-10,11.8,2.3
2010-03-11,8.9,2.1
2010-03-12,10.2,2.9
2010-03-13,10.1,4.1
2010-03-14,9.0,3.7
2010-03-15,12.7,5.7
2010-03-16,14.4,8.9
2010-03-17,10.5,4.9
2010-03-18,8.8,0.5
2010-03-19,11.0,0.2
2010-03-20,16.4,1.3
2010-03-21,12.9,8.0
2010-03-22,12.6,3.4
2010-03-23,12.7,5.4
2010-03-24,12.3,4.0
2010-03-25,9.8,7.0
2010-03-26,13.8,7.3
2010-03-27,14.9,5.4
2010-03-28,13.4,7.9
2010-03-29,9.6,5.1
2010-03-30,10.1,5.3
2010-03-31,10.6,2.0
