Year,Month,Day,max_t,min_t
2013,1,1,,
2013,1,2,-2.3,-6.5
2013,1,3,-1.9,-5.7
2013,1,4,-3.8,-7.6
2013,1,5,-0.6,-10.5
2013,1,6,-3.5,-11.8
2013,1,7,-3.4,-11.9
2013,1,8,0.0,-11.2
2013,1,9,-0.6,-11.0
2013,1,10,,
2013,1,11,,
2013,1,12,3.9,0.2
2013,1,13,3.8,0.7
2013,1,14,6.4,-1.1
2013,1,15,3.6,-7.2
2013,1,16,-5.8,-7.9
2013,1,17,0.5,-9.0
2013,1,18,-1.4,-16.4
2013,1,19,-0.2,-16.3
2013,1,20,,
2013,1,21,6.6,-6.0
2013,1,22,,
2013,1,23,,
2013,1,24,-7.4,-12.5
2013,1,25,,
2013,1,26,-3.4,-8.7
2013,1,27,-6.4,-9.3
2013,1,28,,
2013,1,29,-5.9,-12.3
2013,1,30,1.7,-6.1
2013,1,31,,
2013,2,1,,
2013,2,2,-1.3,-7.5
2013,2,3,-0.9,-7.7
2013,2,4,,
2013,2,5,,
2013,2,6,-4.5,-8.0
2013,2,7,,
2013,2,8,,
2013,2,9,,
2013,2,10,,
2013,2,11,-1.2,-8.3
2013,2,12,1.1,-9.1
2013,2,13,1.2,-2.4
2013,2,14,0.6,-2.4
2013,2,15,-1.7,-3.4
2013,2,16,0.0,-4.8
2013,2,17,1.8,-5.5
2013,2,18,4.0,-1.8
2013,2,19,0.6,-1.9
2013,2,20,,
2013,2,21,-0.2,-1.0
2013,2,22,-0.7,-4.3
2013,2,23,-3.3,-5.0
2013,2,24,-4.1,-12.3
2013,2,25,-4.4,-12.3
2013,2,26,-2.9,-5.3
2013,2,27,-2.3,-4.2
2013,2,28,0.0,-2.7
2013,3,1,1.7,-2.0
2013,3,2,3.2,-1.9
2013,3,3,2.7,0.4
2013,3,4,2.0,0.1
2013,3,5,0.8,-1.8
2013,3,6,0.8,-2.7
2013,3,7,0.8,-4.3
2013,3,8,-0.9,-4.1
2013,3,9,0.0,-1.7
